date,dengue,dengue fever,bone pain,rain,mosquito bite,fever,rashes,rash,mosquito
2018-04-01,26,50,30,56,38,74,44,79,73
2018-04-08,27,37,54,51,77,66,67,80,79
2018-04-15,16,26,42,76,37,70,66,82,65
2018-04-22,24,25,97,74,0,67,83,94,72
2018-04-29,54,50,55,78,46,70,80,76,62
2018-05-06,100,100,50,64,60,83,55,72,94
2018-05-13,43,42,33,73,100,71,45,93,69
2018-05-20,62,43,0,72,43,75,74,64,68
2018-05-27,39,30,41,74,27,65,52,70,82
2018-06-03,43,33,14,46,71,68,79,94,80
2018-06-10,51,48,0,56,30,74,70,85,59
2018-06-17,25,28,85,55,0,78,75,79,65
2018-06-24,35,23,60,57,0,72,78,79,86
2018-07-01,41,48,46,55,0,78,69,90,73
2018-07-08,36,27,69,51,40,81,87,81,62
2018-07-15,31,38,25,47,69,74,69,67,70
2018-07-22,38,25,36,41,38,81,58,74,54
2018-07-29,34,60,46,51,75,79,71,73,78
2018-08-05,34,40,76,46,54,75,55,79,84
2018-08-12,30,46,40,44,32,74,80,94,49
2018-08-19,30,28,34,54,39,65,35,78,61
2018-08-26,24,31,47,41,0,58,45,66,53
2018-09-02,29,31,0,66,26,60,69,79,57
2018-09-09,28,17,35,48,22,62,76,70,50
2018-09-16,37,29,42,64,34,65,46,66,56
2018-09-23,37,39,50,35,0,66,51,74,55
2018-09-30,29,29,64,41,30,64,53,77,62
2018-10-07,24,22,22,67,18,74,51,66,47
2018-10-14,36,33,50,50,60,61,74,49,59
2018-10-21,28,29,36,46,20,73,82,79,61
2018-10-28,32,18,42,60,0,65,57,61,58
2018-11-04,29,38,36,57,75,76,88,84,53
2018-11-11,36,0,18,58,0,83,79,59,78
2018-11-18,33,29,56,59,0,88,58,90,66
2018-11-25,55,63,37,45,40,84,56,80,100
2018-12-02,55,15,39,49,17,82,63,76,84
2018-12-09,40,0,54,52,29,73,58,100,71
2018-12-16,48,37,25,44,36,87,67,70,74
2018-12-23,32,36,33,38,40,91,65,65,44
2017-01-01,81,76,52,47,79,80,63,64,72
2017-01-08,71,72,19,39,61,67,71,61,39
2017-01-15,74,66,58,100,34,74,61,76,60
2017-01-22,57,83,30,81,55,61,75,83,53
2017-01-29,77,58,0,38,37,78,78,88,56
2017-02-05,79,98,34,48,0,75,68,63,56
2017-02-12,47,29,45,52,0,82,71,52,58
2017-02-19,49,49,48,47,44,77,66,60,81
2017-02-26,68,27,41,52,60,66,11,99,59
2017-03-05,58,32,0,43,40,78,88,77,63
2017-03-12,76,58,61,40,0,78,91,75,47
2017-03-19,68,61,33,52,0,79,77,70,63
2017-03-26,65,45,30,46,45,71,64,59,55
2017-04-02,79,82,21,45,65,80,64,54,89
2017-04-09,64,42,62,51,38,74,100,68,73
2017-04-16,68,53,34,56,94,74,63,65,87
2017-04-23,65,68,22,48,45,81,71,86,65
2017-04-30,81,61,46,46,38,85,82,77,66
2017-05-07,59,40,73,41,100,84,90,78,100
2017-05-14,71,50,22,40,63,93,44,78,66
2017-05-21,89,68,36,63,49,100,75,65,50
2017-05-28,86,61,17,46,20,98,56,86,78
2017-06-04,67,100,38,39,60,86,74,80,56
2017-06-11,86,28,0,40,38,80,65,44,66
2017-06-18,61,74,60,47,36,79,86,81,52
2017-06-25,75,95,100,49,0,75,77,86,63
2017-07-02,81,62,69,51,0,69,64,70,67
2017-07-09,71,75,45,52,28,85,83,78,46
2017-07-16,88,65,69,33,75,84,93,66,73
2017-07-23,81,35,47,34,80,66,68,100,73
2017-07-30,67,50,46,29,98,60,50,71,56
2017-08-06,60,60,67,51,78,65,48,76,71
2017-08-13,77,88,0,54,25,64,51,66,68
2017-08-20,75,51,47,40,27,68,82,78,87
2017-08-27,41,44,34,42,62,74,100,69,54
2017-09-03,63,55,45,49,65,78,63,51,69
2017-09-10,66,53,33,47,48,75,65,49,60
2017-09-17,55,40,85,62,99,67,81,73,53
2017-09-24,77,100,22,51,28,74,74,76,67
2017-10-01,87,73,21,50,99,69,66,95,81
2017-10-08,73,79,41,55,67,74,72,70,64
2017-10-15,100,82,38,40,55,77,71,96,63
2017-10-22,61,39,25,40,0,58,92,89,71
2017-10-29,91,92,24,58,30,65,61,78,54
2017-11-05,81,59,89,57,72,65,66,70,51
2017-11-12,73,44,62,54,0,82,47,69,79
2017-11-19,57,100,40,58,43,80,71,95,63
2017-11-26,77,69,36,48,38,77,76,88,71
2017-12-03,87,0,42,42,17,70,58,65,60
2017-12-10,97,75,59,61,33,76,84,88,44
2017-12-17,55,44,39,43,47,75,65,69,36
2017-12-24,39,0,53,45,59,80,90,86,58
2016-01-03,83,71,0,51,42,76,99,55,6
2016-01-10,72,72,49,51,0,77,55,61,5
2016-01-17,67,79,45,71,12,88,51,46,10
2016-01-24,100,86,68,70,22,90,79,68,12
2016-01-31,80,100,23,71,12,97,57,69,14
2016-02-07,89,86,0,61,23,100,87,57,7
2016-02-14,84,97,24,77,56,95,58,53,7
2016-02-21,70,93,81,59,0,87,83,55,7
2016-02-28,63,56,63,56,11,78,46,47,8
2016-03-06,60,73,0,71,16,82,100,60,5
2016-03-13,54,45,70,60,10,72,70,60,6
2016-03-20,44,54,41,60,0,73,75,57,7
2016-03-27,53,55,80,52,38,68,83,59,7
2016-04-03,56,48,62,65,35,66,58,54,5
2016-04-10,50,38,40,64,20,76,58,72,8
2016-04-17,34,41,74,100,10,68,83,73,6
2016-04-24,30,26,90,99,0,65,95,56,6
2016-05-01,33,33,69,68,0,61,78,58,5
2016-05-08,45,25,61,68,29,66,74,75,7
2016-05-15,33,24,43,91,24,56,53,64,10
2016-05-22,41,28,70,76,20,62,71,56,8
2016-05-29,48,10,54,76,23,70,57,55,8
2016-06-05,45,18,54,74,22,74,50,60,8
2016-06-12,34,14,100,68,36,70,53,62,8
2016-06-19,36,37,0,60,53,65,50,61,8
2016-06-26,45,54,67,62,12,66,93,71,7
2016-07-03,38,20,0,54,0,62,23,80,7
2016-07-10,48,45,69,71,14,75,40,68,7
2016-07-17,46,43,21,82,0,74,32,55,7
2016-07-24,47,37,53,69,0,81,71,58,7
2016-07-31,48,33,0,64,19,77,94,33,8
2016-08-07,27,21,49,47,22,65,67,48,6
2016-08-14,40,35,58,47,9,56,66,69,5
2016-08-21,33,31,88,64,16,55,70,62,5
2016-08-28,88,63,0,60,100,80,94,100,100
2016-09-04,63,35,69,64,27,70,98,92,52
2016-09-11,45,36,29,73,51,69,91,100,23
2016-09-18,47,13,44,56,8,73,92,60,16
2016-09-25,30,10,44,60,22,58,56,58,10
2016-10-02,40,34,42,75,0,55,62,58,6
2016-10-09,39,17,37,59,26,72,74,58,8
2016-10-16,29,33,42,57,9,53,77,53,7
2016-10-23,26,18,22,91,22,57,49,59,7
2016-10-30,24,22,66,72,13,56,47,43,6
2016-11-06,20,7,37,67,22,58,50,60,5
2016-11-13,19,18,93,78,14,64,66,45,8
2016-11-20,25,24,60,72,24,50,72,59,6
2016-11-27,23,6,35,64,56,57,85,43,7
2016-12-04,12,8,31,64,16,59,57,49,5
2016-12-11,15,9,30,68,8,46,86,66,5
2016-12-18,9,16,0,75,15,54,71,48,3
2016-12-25,17,0,81,79,15,58,53,47,6
2015-01-04,43,0,19,51,36,58,48,65,68
2015-01-11,66,44,37,38,36,71,69,70,56
2015-01-18,49,18,20,40,34,62,60,95,37
2015-01-25,66,52,34,38,0,68,72,80,72
2015-02-01,55,45,26,44,22,58,51,75,70
2015-02-08,42,50,100,36,0,68,76,94,61
2015-02-15,34,36,0,41,0,68,60,76,48
2015-02-22,57,50,17,29,37,65,48,66,64
2015-03-01,45,38,0,34,0,70,62,59,82
2015-03-08,62,55,22,46,0,67,81,83,92
2015-03-15,58,34,0,49,21,74,51,56,63
2015-03-22,52,34,43,45,16,59,50,100,63
2015-03-29,40,26,19,71,27,65,29,79,49
2015-04-05,54,37,37,46,29,68,59,72,60
2015-04-12,46,39,54,46,28,62,47,80,68
2015-04-19,52,26,30,58,29,58,32,97,78
2015-04-26,53,43,20,60,0,56,13,75,62
2015-05-03,50,40,0,43,84,67,49,64,79
2015-05-10,66,77,20,46,50,82,57,71,69
2015-05-17,67,18,48,47,41,73,64,81,63
2015-05-24,65,43,18,45,27,85,61,92,73
2015-05-31,71,63,18,44,35,100,47,76,62
2015-06-07,52,53,27,42,55,86,72,68,63
2015-06-14,69,78,25,46,0,86,23,80,76
2015-06-21,83,67,13,48,44,83,50,85,82
2015-06-28,66,42,19,50,49,75,57,70,81
2015-07-05,62,56,0,54,18,70,55,90,62
2015-07-12,66,52,28,55,18,61,52,71,73
2015-07-19,84,26,36,53,22,59,35,68,60
2015-07-26,63,29,41,50,14,71,38,61,54
2015-08-02,49,26,34,71,21,64,16,69,77
2015-08-09,52,44,0,50,15,62,46,70,74
2015-08-16,53,48,21,36,30,70,64,78,58
2015-08-23,54,16,53,41,45,66,43,66,54
2015-08-30,40,33,30,38,27,61,47,78,66
2015-09-06,57,45,35,35,13,56,51,61,52
2015-09-13,64,33,36,61,39,64,48,60,62
2015-09-20,68,55,12,42,35,69,49,61,62
2015-09-27,66,56,0,51,43,71,52,66,71
2015-10-04,70,64,30,43,21,71,37,65,56
2015-10-11,56,45,26,30,0,58,61,77,60
2015-10-18,68,47,25,34,27,62,62,72,71
2015-10-25,60,45,28,54,0,62,48,66,69
2015-11-01,61,58,38,46,39,65,55,76,54
2015-11-08,57,45,13,58,38,62,64,89,71
2015-11-15,61,47,32,56,34,61,38,70,77
2015-11-22,53,33,0,57,21,57,53,68,77
2015-11-29,67,48,0,100,96,69,53,72,60
2015-12-06,70,56,19,67,32,63,75,81,53
2015-12-13,96,64,21,44,100,70,69,81,92
2015-12-20,60,51,0,40,64,70,72,83,100
2015-12-27,100,100,17,62,50,88,100,89,64
2013-12-29,39,45,0,75,0,76,62,74,35
2014-01-05,62,48,0,50,28,79,77,76,27
2014-01-12,55,54,49,52,25,73,57,50,20
2014-01-19,42,50,43,38,38,86,84,79,25
2014-01-26,32,28,26,41,0,62,65,82,26
2014-02-02,34,13,55,43,48,79,94,62,37
2014-02-09,47,30,36,48,18,62,98,79,63
2014-02-16,41,32,23,45,63,62,60,76,60
2014-02-23,50,59,46,51,40,77,49,75,97
2014-03-02,49,47,0,59,99,59,61,58,100
2014-03-09,27,35,35,75,0,53,63,75,87
2014-03-16,26,25,0,100,24,62,35,55,59
2014-03-23,35,46,33,41,37,53,46,57,47
2014-03-30,39,43,100,59,31,66,59,75,60
2014-04-06,26,32,18,62,33,64,60,70,36
2014-04-13,36,61,0,61,28,50,42,65,42
2014-04-20,40,75,0,51,34,66,60,63,49
2014-04-27,42,40,48,55,31,61,57,61,55
2014-05-04,27,25,52,58,26,76,56,66,45
2014-05-11,36,31,0,52,0,73,78,75,48
2014-05-18,35,51,20,58,29,75,68,67,49
2014-05-25,51,48,31,53,100,78,45,67,46
2014-06-01,32,39,29,50,59,76,39,100,50
2014-06-08,53,62,0,49,40,77,57,62,39
2014-06-15,53,53,34,43,18,84,62,70,44
2014-06-22,47,44,17,41,44,83,50,53,46
2014-06-29,66,43,76,51,49,73,68,84,37
2014-07-06,100,94,0,57,30,100,72,70,37
2014-07-13,80,90,79,44,16,87,58,69,49
2014-07-20,84,100,61,35,0,91,48,34,59
2014-07-27,69,91,40,58,0,94,48,76,42
2014-08-03,77,78,0,42,21,78,13,56,47
2014-08-10,63,54,66,49,0,77,48,65,40
2014-08-17,69,85,50,51,36,86,61,64,38
2014-08-24,60,34,0,61,27,75,42,71,47
2014-08-31,44,35,0,48,28,66,66,47,27
2014-09-07,40,39,58,48,23,68,77,67,29
2014-09-14,36,28,45,49,0,63,100,52,36
2014-09-21,34,34,70,49,56,60,52,60,38
2014-09-28,44,28,38,51,31,57,70,52,31
2014-10-05,33,20,28,50,55,62,35,71,14
2014-10-12,30,44,58,60,31,55,45,79,30
2014-10-19,37,24,55,59,0,53,48,49,25
2014-10-26,38,33,0,50,38,48,16,53,36
2014-11-02,22,22,31,53,0,46,43,52,22
2014-11-09,27,21,0,76,25,56,46,73,30
2014-11-16,27,32,33,58,0,59,60,53,23
2014-11-23,34,35,0,51,33,58,41,50,30
2014-11-30,32,33,83,57,41,58,65,41,32
2014-12-07,35,27,0,49,0,63,36,68,27
2014-12-14,23,31,43,53,90,60,63,67,23
2014-12-21,22,21,0,63,49,58,70,64,26
2014-12-28,30,29,0,46,0,62,45,52,34
2012-12-30,5,7,0,66,34,57,75,59,28
2013-01-06,12,15,64,49,0,56,51,63,25
2013-01-13,11,20,0,56,49,48,54,43,24
2013-01-20,13,16,17,44,0,54,100,14,25
2013-01-27,11,17,0,30,0,56,31,62,26
2013-02-03,11,20,40,45,0,46,83,81,25
2013-02-10,12,24,44,55,69,55,82,68,36
2013-02-17,13,16,52,42,0,55,37,63,37
2013-02-24,15,19,45,41,0,50,79,52,35
2013-03-03,15,22,23,32,32,59,41,40,33
2013-03-10,12,15,39,34,65,50,82,77,31
2013-03-17,8,11,31,38,26,46,64,76,32
2013-03-24,15,19,28,41,32,42,83,71,43
2013-03-31,18,21,19,38,0,66,75,80,33
2013-04-07,34,44,37,36,32,77,76,87,46
2013-04-14,33,39,29,38,88,61,62,72,47
2013-04-21,29,23,33,41,59,58,84,60,53
2013-04-28,40,52,0,34,33,72,68,63,49
2013-05-05,34,38,18,38,74,72,74,71,58
2013-05-12,30,30,29,30,0,57,42,61,44
2013-05-19,27,22,16,43,0,61,71,83,36
2013-05-26,60,71,65,40,93,88,81,66,48
2013-06-02,55,62,0,43,54,80,29,83,38
2013-06-09,100,100,41,34,91,100,66,81,100
2013-06-16,75,71,0,64,81,76,76,62,66
2013-06-23,46,50,46,100,51,62,71,73,35
2013-06-30,46,43,0,35,35,69,73,51,43
2013-07-07,33,39,0,40,0,55,37,64,49
2013-07-14,29,30,18,40,100,54,82,76,41
2013-07-21,24,18,43,35,0,55,45,72,39
2013-07-28,20,18,0,38,34,51,71,64,42
2013-08-04,20,16,25,38,0,52,26,60,45
2013-08-11,24,21,36,37,94,54,53,85,44
2013-08-18,23,24,0,30,55,56,68,80,28
2013-08-25,21,25,0,33,73,54,66,64,40
2013-09-01,14,18,0,44,64,42,29,56,30
2013-09-08,21,22,20,38,80,56,74,53,30
2013-09-15,19,16,20,35,0,54,72,87,36
2013-09-22,15,19,0,34,65,50,50,100,22
2013-09-29,26,28,0,35,43,58,56,79,28
2013-10-06,23,17,51,39,54,58,56,84,29
2013-10-13,18,19,0,40,60,54,53,89,34
2013-10-20,31,22,0,32,46,54,44,59,37
2013-10-27,21,25,40,44,62,57,35,50,24
2013-11-03,21,23,0,66,0,59,55,70,31
