year,week,dengue_fever,dengue,bone_pain,rain,mosquito_bite,fever,rashes,rash,mosquito
2017,11,32,58,0,43,40,78,88,77,63
2017,12,58,76,61,40,0,78,91,75,47
2017,13,61,68,33,52,0,79,77,70,63
2017,14,45,65,30,46,45,71,64,59,55
2017,15,82,79,21,45,65,80,64,54,89
2017,16,42,64,62,51,38,74,100,68,73
2017,17,53,68,34,56,94,74,63,65,87
2017,18,68,65,22,48,45,81,71,86,65
2017,19,61,81,46,46,38,85,82,77,66
2017,20,40,59,73,41,100,84,90,78,100
2017,21,50,71,22,40,63,93,44,78,66
2017,22,68,89,36,63,49,100,75,65,50
2017,23,61,86,17,46,20,98,56,86,78
2017,24,100,67,38,39,60,86,74,80,56
2017,25,28,86,0,40,38,80,65,44,66
2017,26,74,61,60,47,36,79,86,81,52
2017,27,95,75,100,49,0,75,77,86,63
2017,28,62,81,69,51,0,69,64,70,67
2017,29,75,71,45,52,28,85,83,78,46
2017,30,65,88,69,33,75,84,93,66,73
2017,31,35,81,47,34,80,66,68,100,73
2017,32,50,67,46,29,98,60,50,71,56
2017,33,60,60,67,51,78,65,48,76,71
2017,34,88,77,0,54,25,64,51,66,68
2017,35,51,75,47,40,27,68,82,78,87
2017,36,44,41,34,42,62,74,100,69,54
2017,37,55,63,45,49,65,78,63,51,69
2017,38,53,66,33,47,48,75,65,49,60
2017,39,40,55,85,62,99,67,81,73,53
2017,40,100,77,22,51,28,74,74,76,67
2017,41,73,87,21,50,99,69,66,95,81
2017,42,79,73,41,55,67,74,72,70,64
2017,43,82,100,38,40,55,77,71,96,63
2017,44,39,61,25,40,0,58,92,89,71
2017,45,92,91,24,58,30,65,61,78,54
2017,46,59,81,89,57,72,65,66,70,51
2017,47,44,73,62,54,0,82,47,69,79
2017,48,100,57,40,58,43,80,71,95,63
2017,49,69,77,36,48,38,77,76,88,71
2017,50,0,87,42,42,17,70,58,65,60
2017,51,75,97,59,61,33,76,84,88,44
2017,52,44,55,39,43,47,75,65,69,36
2017,53,0,39,53,45,59,80,90,86,58
2016,1,71,83,0,51,42,76,99,55,6
2016,2,72,72,49,51,0,77,55,61,5
2016,3,79,67,45,71,12,88,51,46,10
2016,4,86,100,68,70,22,90,79,68,12
2016,5,100,80,23,71,12,97,57,69,14
2016,6,86,89,0,61,23,100,87,57,7
2016,7,97,84,24,77,56,95,58,53,7
2016,8,93,70,81,59,0,87,83,55,7
2016,9,56,63,63,56,11,78,46,47,8
2016,10,73,60,0,71,16,82,100,60,5
2016,11,45,54,70,60,10,72,70,60,6
2016,12,54,44,41,60,0,73,75,57,7
2016,13,55,53,80,52,38,68,83,59,7
2016,14,48,56,62,65,35,66,58,54,5
2016,15,38,50,40,64,20,76,58,72,8
2016,16,41,34,74,100,10,68,83,73,6
2016,17,26,30,90,99,0,65,95,56,6
2016,18,33,33,69,68,0,61,78,58,5
2016,19,25,45,61,68,29,66,74,75,7
2016,20,24,33,43,91,24,56,53,64,10
2016,21,28,41,70,76,20,62,71,56,8
